name,address,rate,location,cost,Ambience,Parking,Suggested Food
The Krishna Grand,"1, Monotype, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,750.0,excellent,,"chaats,dosa,Spring dosa,cutlet,masala puri,pani puri,karabath,kesribath,Button idly in sambar dip,Button idly in chutney dip,Button idly sprinkled with gun powder (Guntur idly),wada,small masala dosa,3 varieties of chutney,Pongal,dhai Wada,Bonda soup,rava onion dosa"
Sea Spice by 7 Star,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",4.0,Banashankari,1.2,family-friendly,Yes,"prawn ghee roast,krab masala,kori roti,chicken gravy,appam"
Mini Punjabi Dhaba,"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",4.2,Banashankari,350.0,bad,,"paneer keema,tandoori roti,phulkas,jeera rice,dal,paratha,pulka,paneer do pyaza,butter roti,bhindi fry,aloo gobi,masala papad,lassi"
Onesta,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6,Banashankari,600.0,excellent,,"pizzas,pasta,tiramisu shots,mozzarella cheese balls,bacon pizza,chat pizza,herbed wedges,cheese balls,fish fingers,walnut tart,peanut-butter mousse"
Wamama,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",4.2,Banashankari,800.0,excellent,No,"sushi,char Sui bao,egg fried rice,peanut butter chocolate mousse,soups,dimsums,Korean wings,Hongkong noodles,Thai steamed fish,Mushroom Manchurian,Manchow Soup,Bol Choy & Tofu Dumpling,Wamama Special Bao,Paneer Chilli,Japanese Fried Chicken Karaage,Prawn Char kway Teow,Khao suey chicken soup,prawn fried rice,spring rolls,Schezwan fried rice,vanilla ice cream"
Jalsa,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1,Banashankari,800.0,excellent,No,"masala papad,panner,baby corn,lemon and coriander soup,butter roti,olive and chilli paratha,Pumpkin Halwa,kulchas,Cheese chilli paratha,Bhutta palak methi curry,Lemon Chicken,Egg fried rice,""Alice in Junoon"",soya chaap"
Vinny's,"2467, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.2,Banashankari,800.0,friends-hangout,Yes,"Onion Rings,Thin crust pizza,Alfredo sauce pasta,Red Velvet cake,Chicken lasagna,BBQ chicken pizza,Margherita pizza,Mozzarella sticks,Panner Tikka thin crust pizza,Caramel custard"
Jcubez,"1431, 22nd Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,1.3,friends-hangout,No,"Pizzas,Fries,Burger,Fountain soda"
Gustoes Beer House,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,1.2,friends-hangout,,"steaks,egg based pizzas,grilled fish steak,Kung Pao Chicken,Murgh Beer House Tikka,Panneer Sofiyan Tikka,french fries,Raw Mango salad,Papaya salad"
Penthouse Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0,Banashankari,700.0,friends-hangout,,"Veg Steak,pasta,pizza,sizzler,chicken burgers,Nachos Cheese Salsa,BBQ Chicken Grilled Burger,Jalapeno Cottage Cheese Burger,Nutella shake,hot chocolate,Garlic bread,Cheese balls"
Spice Elephant,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,800.0,family-friendly,No,"Chicken biryani,Mutton biryani,Thom yum Thai soup,paneer curry,paneer uttar dakshin,paneer kurchan,Lasooni fish tikka,buffet"
Smacznego,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2,Banashankari,550.0,friends-hangout,,"cheesy fries,Delicious pasta,loaded fries,white sauce pasta,cheesy loaded nachos,waffles,bubble tea,saucy fries,mixed cream pasta,green fries,spicy fries"
Caf Down The Alley,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,500.0,friends-hangout,,"waffles,Mango Smoothies,Almond Smoothies,Potato Wedges,Pesto Veg Pasta,Alfredo Veg Pasta,Chilly Baby Corn,French Fries,Black currant Smoothies,Lychee Smoothies,Chilli cheese Maggi,blue lagoon,sandwiches,nuggets"
Cafe Shuffle,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",4.2,Banashankari,600.0,friends-hangout,,"BBQ chicken wings,chef's special pizza,Jalapeo cheese balls,Veg Lasagne,chicken tikka pizza,fish fingers,mushroom Manchurian,milkshakes,snicker milkshake"
The Coffee Shack,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2,Banashankari,500.0,friends-hangout,,"pancakes with chocolate syrup,ice cream,Masala Maggie,scrambled eggs,pasta,chicken barbecue,nachos,chicken and spaghetti,jalapeo cheese balls,Veg Alfredo Pasta,Virgin Mojito,Smokey Chicken Burger,veg paneer pizza,twistato,corn cheese balls,garlic bread,green apple juice,spinach corn savory crepes,french ratatouille,cheesy fries,Aribiatta pasta,sandwich"
Peppy Peppers,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.2,Banashankari,800.0,excellent,,"hot chocolate,Nachos,Fries,Thai green curry,Quesadillas,Greek salad,garlic prawn,bread toast,Arabiatta,Alfredo,Super Large Fries,Cheese cottage steak,loaded nachos,Butter Chicken Fries,Dal-Methi,Phulka,Cajun spiced potato wedges,veg quesadilla,cottage cheese steak sizzler,cheesy fries,peppy paneer,Thin crust Chicken supreme pizza,paneer tikka biriyani,Chicken Makhani Fries,Masala Nachos,Penne Alfredo,Penne Arabiata,Red velvet Cake,Tiramisu,Cold Stone Ice-cream,Chille releno,Chicken plancha,salad Al Arabia"
Anna Kuteera,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",4.0,Banashankari,450.0,bad,,"idly vada,dosa,filter coffee,Thali,North Indian Rotis,palav,masala dosa"
Szechuan Dragon,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",4.2,Banashankari,600.0,friends-hangout,,"leefu chicken,chilli garlic noodles,chicken lollipop,Manchow soup,shredded chicken,mixed Fu Yong,Singapore noodles,roast chilli chicken,hunan prawns,Dimsum chicken,Veg wonton soup,Leefy baby corn,Dragon chicken,Butter garlic rice,general Tso’s mushrooms,Kung pao babycorn,honey chilli potatoes,leefu fried rice,schezwan fried rice,veg ball manchurian sauce"
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",4.0,Banashankari,850.0,excellent,,"spicy corn soup,sholey ke paneer,Panner Tikka Dum Biriyani,Panner Lababdar gravy"
Caf-Eleven,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",4.0,Banashankari,450.0,friends-hangout,,"lemon chicken,dragon chicken,jalapeno poppers,BBQ veg pizza,Arrabiata pasta,jalapeno cheese balls,Oreo milkshake,cheese toasts,babycorn pepper dry,cafe frappe,mushroom pepper"
Thamboola,"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,800.0,family-friendly,,"Baby corn tandoori,veg kheema gravy,Paneer Tikka,Cashew and Dhaniya Pulao,Veg Jhalfrazy,spring rolls,veg kolapuri,butter naan,tandoori babycorn,tandoori aloo,veg biryani"
Havyaka Mess,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",3.9,Banashankari,300.0,bad,Yes,"Rice,sambhar,rasam,papad"
San Churro Cafe,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,800.0,bad,No,"desserts,nachos,pasta,churros,lasagne,Thai green curry,pizza,hot chocolate,Cross Country Ranch pizza,pasta,caramel pudding"
Cafe Vivacity,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,650.0,excellent,Yes,"filter coffee,french fries,brownie with ice cream,Potato Wedges,Corn n Cheese Garlic Bread,KitKat Milkshake,Belgian Waffle with Icecream,Red Velvet Cupcake"
Chung Wah,"14, 2nd Floor, Panchanjanya Tower, Phase III, 3rd Stage, 100 Feet Road, Banashankari, Bangalore",3.9,Banashankari,900.0,friends-hangout,,"chicken manchurian,chicken lollipop"
Vietnamese Kitchen,"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",3.6,Banashankari,700.0,average,,"burnt garlic rice,chicken red and green,chicken glass noodles soup,hot garlic fish,glass noodles,Rice flour Rolls,veg dumpling,Chicken Pho,chicken momos,mushroom,baby corn"
Blue Wings Bar  Restaurant,"488/1, 7th Main Road, 50 Feet Road, Hannumantha Nagar, Banashankari, Bangalore",3.7,Banashankari,700.0,friends-hangout,,"golden chicken,raja chicken,groundnut masala,onion rings,Pork Pepper,Pork dry,potato wafers,cashew fry,capsicum bajji,chilli chicken,Roti,Paneer Butter Masala,Palak Panner,Palak Rice,Veg Biriyani,ghee rice"
Anand Sweets and Savouries,"70, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,400.0,friends-hangout,No,"Kaju Katli,Dhai balla,katori chat,Dhai Puri,Rasmali,Dhoklas,Kachoris,Kachori chaat,Samosa Chat,Dahi Puri,Bhel Puri,lassi,badam milk,rasmalai,rasgulla,papdi chaat,dahi bhalla,motichoor laddu,Rasgullas,jamoons,Chole batura"
Catch-up-ino,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",3.9,Banashankari,800.0,bad,,"hookah,masala french fries"
Kirthi's Biryani,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,700.0,,,"wood fire pizzas,pizza"
T3H Cafe,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,300.0,friends-hangout,,"coffee,cheese Maggie,masala fries"
Srikrishna Bhavan,"Next To BMTC Bus Stand, Banashankari, Bangalore",3.8,Banashankari,300.0,excellent,,
Dal Tadkaa,"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",2.5,Banashankari,500.0,bad,,"dal tadkaa,stuff kulcha,dal-bati churma,paneer butter masala,garlic naan,dal makhni,kulfi,moong ka halwa"
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",3.1,Banashankari,400.0,friends-hangout,,"white sauce pasta,pizza,garlic bread stick,momos"
New Imperial Restaurant,"39/3C, Banashankari, Bangalore",3.7,Banashankari,450.0,bad,,"nonveg spl thali,kushka,Kabab,Chicken Tikka,Biriyani rice,ghee rice,Mutton Kadai,tandoori chicken,grilled chicken,butter chicken,dal"
The Vintage Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",3.0,Banashankari,400.0,bad,,"Chikmagalur Filter Coffee,Strawberry Milk Shake,Iced Tea,veg cheese corn sandwich,paneer burger,pizza"
Green Gardenia,"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",3.8,Banashankari,700.0,,,
Parimala Sweets,"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",3.5,Banashankari,200.0,,,"samosas,cham cham,jahangeer sweets,Rasgullas"
Vaishali Deluxe,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",3.8,Banashankari,700.0,,,"Tandoori chicken,Special chicken dry"
Paradise Premium,"224/Y, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",3.1,Banashankari,700.0,,,garlic chicken
Kadala Tarangaa,"27, 27th Cross, 1st Floor, Kadamba Complex, 2nd Stage, Banashankari, Bangalore",3.6,Banashankari,600.0,,,"Fish Sambar,Chicken Ghee Roast,Fish Anjal,Bangda,Mutton Fry,Chicken Tandoori,Chilli Chicken,Baby Corn Manchurian,Ghee Roast with Neer Dosa,Chicken Biryani,Fish Meal"
Vi Ra's Bar and Restaurant,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",3.3,Banashankari,800.0,,,
Sri Yaksha Shiv Sagar,"940, 20th Main, Opposite South Entrance, BDA Complex, Banashankari, Bangalore",3.6,Banashankari,600.0,friends-hangout,,"dal kichadi,faluda,Hyderabadi briyani,Kasmiri briyani,Paneer fried rice,Chinese,North Indian Currys,tandoori,palak fried rice"
Nandhini Deluxe,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",2.6,Banashankari,600.0,excellent,,"Biryani,south Indian meals"
Corner Stone,"294, 100 Feet Road, Next to Mane Thindi Hotel, Near Deve Gowda Petrol Bunk, 3rd Stage, Banashankri, Bangalore",3.6,Banashankari,300.0,cozy,,"burgers,pizzas,strawberry milkshake,chocolate milk shake,fries,scoop,watermelon juice,gobi manchurian,fried rice,noodles,fresh juice"
Karavali Fish Center,"715, Hari Complex, 22nd Cross KR Road, 2nd stage, Banashankari, Bangalore",3.4,Banashankari,300.0,,,"fish curry with red rice,Chicken biryani,Crab Sukka,Anjal Tawa fry,Bangada fry,Fish Kabab (BL),Chicken Kabab,Chicken fried rice,Anjal fry"
Ayda Persian Kitchen,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,950.0,rustic and beautiful,,"joojeh,kobideh,hasiri,kabab sheshliks,korma sabzi,hummus,mast mosar,joojeh lohmei"
J Spice,"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,750.0,ok,,butter chicken
Swadesh Tadka,"101, Manjunatha Complex, Near BDA Complex, 22nd Main, 2nd Stage, Banashankari, Bangalore",3.5,Banashankari,600.0,family-friendly,,"Veg biryani,Gulab jamun,paneer curry"
Iyer's Tiffin Centre,"38/2, 1st Main, Mount Joy Extension, Hanumanthanagar, Girinagar, Banashankari, Bangalore",3.8,Banashankari,150.0,bad,,"chapathi,Tomato rice bath,idli vada,masala dosa,kesari bath,filter coffee,Akki rotti,methi roti,uddin vada,avalakki bath,bisibelebath,Khali Dose,Kesari bath,Jamun"
Kydz Adda,"2nd Floor, 980, 13th Cross, 2nd Stage, Banashankari, Bangalore",3.4,Banashankari,500.0,kid-friendly,,"French fries,sandwich,Mac and cheese"
K27 - The Pub,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",3.1,Banashankari,1.0,bad,,"panner ghee roast,palak panner,Chicken uruwal,Egg Pakora,Tandoori Roti,Egg masala,Chicken Kolhapuri,chicken drumstick,egg fried rice"
Kotian Karavali Restaurant,"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",3.5,Banashankari,300.0,bad,,"neer dosa,anjal masala fry"
Food Box Cafe,"24, 5th cross, 7th Main Road, Dwarkanagar, near Pesit College, Hosakerehalli, Bangalore, Banashankari",3.6,Banashankari,500.0,,,
Hide Out Cafe,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,300.0,friends-hangout,Yes,"chicken,eggfried rice,fries,Hookah,Cheese potato kurkure,Chicken nachoes"
CAFE NOVA,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",3.2,Banashankari,600.0,excellent,,"pasta,banana coffee,hot chocolate with mint,sausage,nuts sundae,Hazelnut Cappuccino,Irish toppings"
Darbar,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",3.0,Banashankari,800.0,friends-hangout,,"chicken appetizers,fried rice,biryani"
Sri Ganesh Juice and Chats,"173, 5th Main, Avalahalli Extension, Near Girinagar, Banashankari, Bangalore",3.5,Banashankari,150.0,,,"dry fruits Bhel puri,Chinese masala puri,masala puri,ragda paettice,Juice"
Manifest Cafe,"#9, 5th Cross, 7th Main, Dwaraka Nagar, Near PESIT College, Hosakerehalli, Banashankari 3rd Stage, Bangalore",3.5,Banashankari,500.0,friends-hangout,,
Beijing Bites,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",2.7,Banashankari,850.0,excellent,,"veg fried momos,chicken Hakka noodles,chilli chicken gravy,sweet and sour coleslaw"
The Pizzeria,"1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore",2.8,Banashankari,800.0,friends-hangout,,few selected pizzas
Sri Krishna Sagar,"22nd Cross, 22nd Main Road, 2nd Stage, Near BDA Complex, Banashankari, Bangalore",3.2,Banashankari,400.0,,,"roti,Paratha,Dal fry,good,awesome,Paneer Kadai,veg fried rice,ghee rice"
Lassi Stop,"11,12, 80 Feet Road, Behind Reliance Fresh, Banashankri, Bangalore",3.4,Banashankari,150.0,,,"Lassi,mud coffee,faluda ice Cream,french fries,moheto,aloo tikki,death by chocolate crispy corn"
Sea Green Cafe,"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",3.3,Banashankari,500.0,excellent,,"Chicken Pakoda,Crispy Fried Chicken"
As On Fire,"75, 21st Main Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",3.5,South Bangalore,400.0,friends-hangout,,"Masala Madness Pizza,BBQ,chocolate shake,magic mushroom,thin crust pizza,Chicken Drumsticks,chicken wings"
Pizza Hut,"14, 100 Feet Ring Road, 6th Block, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,750.0,,,"pizza exotica,pizza italiano,volcano cakes"
New Prashanth Hotel,"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore",3.9,Banashankari,650.0,,,"mudde with two kinds of curry,chicken kabab,mutton Keema balls,mutton chops"
Taaza Thindi,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",4.7,Banashankari,100.0,excellent,,"khaara bath,uddina vada,Masala Dosa,Kesari Bath,Idli,Vada,Chow Chow Bhath,Tea,Coffee"
Ayodhya Upachar,"199/1, Ajanaya Bhavana, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",4.3,Banashankari,200.0,bad,,"Curd Vada,Masala Dosa,Rava Idli,Tomato soup,Noodles,Naan,Kaju masala,Capsicum masala,Kulcha,Gobi Manchurian,Paneer butter masala,North Indian thali,Mushroom chilly,Butter khulcha,Mushroom masala,Veg fried rice"
Petoo,"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,450.0,,,masaledaar chole
Roving Feast,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",4.0,Banashankari,450.0,friends-hangout,,"momos,Chilli noodles,Egg Fried rice,crispy chilli chicken,veg momos,paneer Momos,white sauce pastas,arrabiata pastas,schezuan fried rice,nachos,chicken roll,chicken hakka noodles,momo Manchurian,Russian salad"
KFC,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",3.8,Banashankari,450.0,excellent,,"chicken,chicken popcorn"
Five Star Chicken,"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",3.6,Banashankari,200.0,bad,No,"popcorn,Chicken pieces,Italian hotdog,Wings,Puri puri chicken fry,Chicken roll,Chicken items"
Gama Gama,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",3.9,Banashankari,200.0,peaceful,,"Talipattu,Girmit,Sabudhana Vada,Millet Taalipattu,Shenga Holige,Jolad Rotti,Brinjal Palya,Holige,Mirchi Bajji"
Hotel New Karavali,"89, Behind Venkateshwara Bar, Near PES College, 1st Stage, Banashankari, Bangalore",3.8,Banashankari,300.0,bad,,"chapathi,sukka,fish masala fry,fish curry,Chicken 65,fish thali,egg fried rice"
McDonald's,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",3.9,Banashankari,500.0,friends-hangout,,"burger,coke,fries,coffee,ice cream"
Sri Laxmi Venkateshwara Coffee Bar,"187, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.4,Banashankari,100.0,friends-hangout,No,"Idli,Vada,Chutney,Masala Dosas,Khara baath,Bisi Bele Baath,Coffee,Maddur Vada,Chow Chow Bath"
Bhattara Bhojana,"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",3.6,Banashankari,150.0,,,
Davanagere Benne Dose Hut,"Shop 97, 22nd Main Road, Near Banashankari BDA complex, Banashankari Stage II, Banashankari, Bangalore",3.4,Banashankari,100.0,excellent,Yes,"beNNe dose,Idly,Open Benne Dosa"
Utsav Restaurant,"38/A, Mount Joy Road, Hanumanthnagar, Behind BMS College, Banashankari, Bangalore",3.8,Banashankari,300.0,excellent,,"Harabara kabab,Malai kofta,Plain roti,garlic naan"
Messy Bowl,"24 th cross, 15th Main Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bangalore",3.8,Banashankari,500.0,excellent,,"Vegetable Masala Maggi,Paneer jeera rice sizzler,Chilly Garlic Maggi,peri peri Maggi,panner sizzler,nachos,garlic fries,tandoori maggie,Nachos platter,Mexican fries,Paneer chilli sizzler,Lasagna maggi,Creamy burst pasta,tandoori Maggi,Ginger mojito,schezwan Maggi"
Devanna Dum Biriyani Centre,"16th Main Road, Near PESIT College, Banashankari, Bangalore",3.6,Banashankari,300.0,bad,,"biriyani,kebab,Chicken meals,chicken kabab,Paratha curry"
Janahaar,"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",3.8,Banashankari,100.0,family-friendly,,"Halbai sweet,Vada,Masala Dosa,Idly,Medu,Coffee,Crispy Vada,Khali Dosa,Masale Dosa,Paddu,Pongal,Idli,Khara Bath,Kesari Bath"
Stop 'N' Joy,"30, 7th Cross, Dwaraka Nagar, Banashankari, Bangalore",3.8,Banashankari,150.0,friends-hangout,,"bun samosa,cold coffee,bread omelette,banana shake,Oreo shake,cheese Maggi,Capsicum sandwich"
Dodda Mane Baaduta,"3313, Vishwabharati Layout, 80 Feet Road, Girinagar, 4th Phase, Stage 3, Banashankari, Bangalore",3.5,Banashankari,250.0,,,"biriyani,Mutton biryani,chicken biryani,lever fry,lemon chicken,thandoori chicken,Kalmi kabab"
Chickpet Donne Biryani House,"520, Nagendra Block,Hanumanthnagar, 50 Feet Road, Near PES College, Bank Colony, 1st Stage, Banashankari, Bangalore",3.8,Banashankari,250.0,average,,"chicken biryani,pepper chicken,chicken lollipop"
Brahmin Cafe,"6, 10th Main, Opposite Post Office, 2nd Block, SBM Colony, Banashankari, Bangalore",3.8,Banashankari,150.0,friends-hangout,,"upittu,benne khali dosa,Khaali Dosa,masala Dosa,Vada,shavige bath,ginger coffee"
Chumma Delicious,"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,200.0,good,,tiffin
Udupi Upachar,"5 Zaina Towers, 9th Main Yarab Nagar Main Road Banashankari, Bangalore",3.3,Banashankari,500.0,,,Udupi upachar
Bengaluru Coffee House,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",4.1,Banashankari,300.0,,,"Pongal,curd raitha,idlis,coffee,masala dosa,Gobi Manchurian,fried rice,kesari bhath,neer dosa"
Foodiction,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",2.8,Banashankari,500.0,bad,,"chicken butter masala,peas pulav,kaju masala,butter chicken,biryani,chicken curry,burgers,veg noodles,chicken tikka,fish fingers,Paneer"
The Biryani Cafe,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,300.0,decent,,"Paneer fry,mint cooler,chicken Basmati biryani,Biryani Cafe Chicken Fry,Donne Biryani,Dum Biryani,jeer rice Biryani,egg chilli,kothu poratta,paneer special fry,mushroom fry"
Banashankari Donne Biriyani,"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",3.8,Banashankari,300.0,,,
Addhuri Udupi Bhojana,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,300.0,good,No,"dosa,holige,pineapple pickle/chutney,masala dosa,pulka,pulav,veg rice bath,sambar,rasam,daal,tambali,holige,payasam,mango soup,Pongal,kai holige"
Vasanth Vihar - Since 1965,"78, Nagendra Block, Giri Nagar, II Phase, Banashankari,Bangalore",3.6,Banashankari,150.0,,,"South Indian breakfasts,wheat pongal,Udupi style kotte kadubu,masala dosa,onion dosa"
Subway,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.7,Banashankari,600.0,good,,subs
SGS Non Veg - Gundu Pulav,"57, Kadirenahalli Road, Banashankari, Bangalore",3.8,Banashankari,400.0,,,"chicken biryani,non spicy Pulav,pulav,pepper salt,Fish kabab"
Udupi Ruchi Grand,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2,Banashankari,200.0,excellent,,"bhel puri,Pav bhaji,paneer tikka masala"
Hotel Mangala,"Hotel Mangala, 10th Main, Pipeline Road, Hanumanth Nagar, Banashankari, Bangalore",3.9,Banashankari,250.0,,,"kali dosa,bisibele bath,Khali Dosa,Rave Vade,watery chutney"
Simple Thindies,"2/B J P Road, Girinagar I Phase, Banashankari, Bangalore",3.5,Banashankari,200.0,,,"Kharabath,Maddur Vada,Masala Dosa,coffee,Idli,Vada,Mandakki,medu wada,mirchi bhajiya,chow chow bath,filter coffee"
Rolls On Wheels,"8, 1st Main, Mount Joy Road, Hanumanth Nagar, 2nd Stage, Banashankari, Bangalore",3.4,Banashankari,300.0,,,"combos,rolls,momos,starters"
Chilli Flakes,"Opposite BNM School, Near BDA complex, Banashankari, Bangalore",3.6,Banashankari,500.0,,,"Corn Spinach & cheese sandwich,Smoked Burger,Momos"
Kababs N Biryani,"406, 2nd Cross, Vidyapeeta Layout, Banashankri, Bangalore",3.4,Banashankari,200.0,,,"Chiken Biriyani,egg paroto,kababs,kothu parrota"
Udupi Ruchi,"31/1, Puttalingaiah Road, Second Stage, Bangalore, Banashankari, Bangalore",3.9,Banashankari,200.0,,,
SLV Swadishta,"76, 21st Main Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,300.0,,,
Kolbeh,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",3.7,Banashankari,500.0,family-friendly,,"burger,sandwich,french fries,kolbeh burger,lamp burger"
Kolkata Kathi Roll's,"2/1,7th Main, Dwarakangar Hosakerehalli, Banashankari, Bangalore",3.6,Banashankari,250.0,bad,No,"egg paneer rolls,veg roll,chicken roll,gobi roll,egg chicken roll"
Mylari Biryani Family Restaurant,"198, 2nd Block, 3rd Stage, Outer Ring Road, Banashankari, Bangalore",3.7,Banashankari,400.0,,,"mutton biriyani meal,chicken biriyani meal,biriyani kabab"
Upahar Sagar,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,350.0,bad,Yes,"masala puri,sev puri,mix chats,bisi bele bath,chow chow bath,triple fried rice,masala dosa,paneer tikka Masala,kulcha,Madila Dosa,Dal fry,Jeera rice,Idli,vada,gobi manchuri,North Indian thali,fried rice,biriyani"
Domino's Pizza,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",3.9,Banashankari,800.0,family-friendly,,"veg loaded,zingy parcel,single topping pizza,Panner onion,capsicum,white sauce pasta,garlic bread,cheese burst pizza,chocolate lava cake"
New Sagar Fast Food,"12/6, 80 Feet Road, 1st Stage, Srinivasnagar, Bank Colony, 1st Stage, Banashankari, Bangalore",3.6,Banashankari,250.0,,No,"South Indian food,Gobi Manchurian"
